from	to
CENPF	DLGAP5
CENPF	E2F8
CENPF	MELK
CENPF	PCLAF
CENPF	TPX2
CENPF	UBE2C
CENPF	RRM2
CENPF	EXO1
CENPF	TK1
CENPF	DEPDC1
CENPF	UBE2T
CENPF	KIF4A
CENPF	HMMR
CENPF	NUSAP1
CENPF	HJURP
CENPF	ZWINT
CENPF	CEP55
CENPF	KIF20A
CENPF	TTK
CENPF	NEK2
CENPF	TOP2A
CEP55	DLGAP5
CEP55	DEPDC1B
CEP55	MELK
CEP55	PCLAF
CEP55	TPX2
CEP55	TYMS
CEP55	UBE2C
CEP55	RRM2
CEP55	NEK2
CEP55	TTK
CEP55	UHRF1
CEP55	UBE2T
CEP55	TK1
CEP55	ZWINT
CEP55	DEPDC1
CEP55	HJURP
CEP55	HMMR
CEP55	TOP2A
CEP55	NUSAP1
CEP55	KIF4A
CEP55	KIF20A
CETP	CLU
CETP	LPL
CFP	COMP
CFP	MASP1
CFP	CLU
CFP	FCN1
CLDN11	ESAM
CLDN11	CLDN5
CLDN5	VWF
CLDN5	ESAM
CLDN5	ROBO4
CLDN5	MMP9
CLDN5	IL6
CLDN5	PECAM1
CLU	CP
CLU	MMP9
CLU	SPP1
CLU	LPL
CLU	SNCA
CLU	SERPINA1
COL10A1	MMP11
COL10A1	COMP
COL10A1	COL1A1
COL10A1	IBSP
COL10A1	MMP13
COL10A1	COL1A2
COL10A1	COL3A1
COL10A1	COL5A2
COL10A1	COL11A1
COL11A1	MMP11
COL11A1	COL1A1
COL11A1	COL1A2
COL11A1	COL3A1
COL11A1	THBS2
COL11A1	COL5A1
COL11A1	COL5A2
COL1A1	MMP13
COL1A1	IBSP
COL1A1	SPP1
COL1A1	ITGA8
COL1A1	MMP1
COL1A1	THBS2
COL1A1	MMP9
COL1A1	VWF
COL1A1	ITGA1
COL1A1	SPARC
COL1A1	COL5A1
COL1A1	COL5A2
COL1A1	COL3A1
COL1A1	COL1A2
COL1A2	SPARC
COL1A2	ITGA1
COL1A2	CXCL12
COL1A2	ITGA8
COL1A2	THBS2
COL1A2	MMP9
COL1A2	COL5A1
COL1A2	COL5A2
COL1A2	COL3A1
COL3A1	SPARC
COL3A1	SULF1
COL3A1	ITGA1
COL3A1	CXCL12
COL3A1	MMP9
COL3A1	TGFBR2
COL3A1	THBS2
COL3A1	COL5A1
COL3A1	COL5A2
COL5A1	THBS2
COL5A1	COL5A2
COL5A2	THBS2
COMP	ITGA1
CP	SERPINA1
CPB2	SERPIND1
CPB2	THBD
CR2	MME
CRYAB	LDB3
CRYAB	SNCA
CSF3	SELE
CSF3	CXCL12
CSF3	IL7R
CSF3	LIFR
CSF3	CXCL5
CSF3	SOCS3
CSF3	EGFR
CSF3	CXCL2
CSF3	EGF
CSF3	FGF2
CSF3	CXCL8
CSF3	IL6
CTAG1B	MMP7
CTAG1B	DDX53
CXCL12	MIF
CXCL12	FGF2
CXCL12	EGF
CXCL12	EGFR
CXCL12	CXCL13
CXCL12	CXCL3
CXCL12	CXCL5
CXCL12	PPBP
CXCL12	CXCL8
CXCL12	MET
CXCL12	CXCR2
CXCL12	SELE
CXCL12	CXCL14
CXCL12	MMP9
CXCL12	TEK
CXCL12	SLIT2
CXCL12	PECAM1
CXCL12	IL6
CXCL12	CXCL2
CXCL13	MMP9
CXCL13	IL6
CXCL13	CXCL8
CXCL13	CXCL2
CXCL13	CXCL3
CXCL13	PPBP
CXCL13	CXCL5
CXCL13	CXCR2
CXCL14	CXCL3
CXCL14	CXCL5
CXCL14	PPBP
CXCL14	CXCR2
CXCL14	CXCL2
CXCL2	CXCL3
CXCL2	CXCL5
CXCL2	PPBP
CXCL2	CXCL8
CXCL2	CXCR2
CXCL2	PTGS2
CXCL2	IL6
CXCL3	PPBP
CXCL3	IL6
CXCL3	CXCL8
CXCL3	CXCL5
CXCL3	CXCR2
CXCL5	MMP1
CXCL5	MMP9
CXCL5	PPBP
CXCL5	IL6
CXCL5	CXCL8
CXCL5	CXCR2
CXCL8	MMP13
CXCL8	VWF
CXCL8	FGF2
CXCL8	EGF
CXCL8	SSTR1
CXCL8	EGFR
CXCL8	MMP3
CXCL8	GPR37
CXCL8	SFTPD
CXCL8	PECAM1
CXCL8	SPP1
CXCL8	MMP1
CXCL8	S100A8
CXCL8	IL33
CXCL8	EDN1
CXCL8	S100A12
CXCL8	SELE
CXCL8	MMP9
CXCL8	PTGS2
CXCL8	IL6
CXCL8	CXCR2
CXCR2	MIF
CXCR2	PPBP
CXCR2	MMP9
CXCR2	IL6
CXCR2	FCGR3B
DACH1	SIX4
DACH1	SIX1
DAPK1	MGMT
DAPK1	RASSF1
DEPDC1	DLGAP5
DEPDC1	DEPDC1B
DEPDC1	MELK
DEPDC1	TPX2
