"automated_textmining","coexpression","combined_score","database_annotated","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"0.93","0.661","0.977","0.0","0.101","0.0","0.0","interacts with","ANXA1 (interacts with) S100A10","0.0","9606.ENSP00000366109","9606.ENSP00000357801","0.0","false","interacts with","ANXA1 (interacts with) S100A10"
"0.999","0.043","0.999","0.5","0.0","0.0","0.0","interacts with","ANXA1 (interacts with) FPR2","0.0","9606.ENSP00000366109","9606.ENSP00000468897","0.0","false","interacts with","ANXA1 (interacts with) FPR2"
"0.908","0.083","0.958","0.0","0.544","0.0","0.0","interacts with","ANXA2 (interacts with) EGFR","0.0","9606.ENSP00000346032","9606.ENSP00000275493","0.0","false","interacts with","ANXA2 (interacts with) EGFR"
"0.737","0.0","0.737","0.0","0.0","0.0","0.0","interacts with","ANXA2 (interacts with) KCNK3","0.0","9606.ENSP00000346032","9606.ENSP00000306275","0.0","false","interacts with","ANXA2 (interacts with) KCNK3"
"0.906","0.207","0.922","0.0","0.0","0.0","0.0","interacts with","ANXA2 (interacts with) CAV1","0.0","9606.ENSP00000346032","9606.ENSP00000339191","0.0","false","interacts with","ANXA2 (interacts with) CAV1"
"0.915","0.085","0.951","0.0","0.422","0.0","0.0","interacts with","ANXA2 (interacts with) MYC","0.0","9606.ENSP00000346032","9606.ENSP00000478887","0.0","false","interacts with","ANXA2 (interacts with) MYC"
"0.999","0.826","0.999","0.9","0.987","0.0","0.0","interacts with","ANXA2 (interacts with) S100A10","0.0","9606.ENSP00000346032","9606.ENSP00000357801","0.0","false","interacts with","ANXA2 (interacts with) S100A10"
"0.769","0.044","0.769","0.0","0.0","0.0","0.0","interacts with","AOC3 (interacts with) CD69","0.0","9606.ENSP00000312326","9606.ENSP00000228434","0.0","false","interacts with","AOC3 (interacts with) CD69"
"0.79","0.063","0.794","0.0","0.0","0.0","0.0","interacts with","AOC3 (interacts with) FCGR3B","0.0","9606.ENSP00000312326","9606.ENSP00000433642","0.0","false","interacts with","AOC3 (interacts with) FCGR3B"
"0.795","0.043","0.795","0.0","0.0","0.0","0.0","interacts with","AOC3 (interacts with) CD19","0.0","9606.ENSP00000312326","9606.ENSP00000313419","0.0","false","interacts with","AOC3 (interacts with) CD19"
