ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
208323_s_at	5.64e-02	2.31e-02	2.301615	-4.477453	0.18388583	ANXA13	annexin A13
228558_at	5.64e-02	2.31e-02	2.301415	-4.477895	0.11831533	C14orf80	chromosome 14 open reading frame 80
229831_at	5.65e-02	2.31e-02	2.3013003	-4.478148	0.49273433	CNTN3	contactin 3
215516_at	5.65e-02	2.31e-02	-2.3010088	-4.478791	-0.06367967	LAMB4	laminin subunit beta 4
209854_s_at	5.65e-02	2.31e-02	2.3010077	-4.478793	0.07493133	KLK2	kallikrein related peptidase 2
222133_s_at	5.65e-02	2.31e-02	2.300878	-4.479079	0.30058967	PHF20L1	PHD finger protein 20-like 1
233927_at	5.65e-02	2.31e-02	2.3008316	-4.479182	0.05520983		
243290_at	5.65e-02	2.31e-02	2.3008105	-4.479228	0.17989333	WWC1	WW and C2 domain containing 1
231948_s_at	5.65e-02	2.31e-02	2.3007039	-4.479463	0.16124533	UBE2F	ubiquitin conjugating enzyme E2 F (putative)
216110_x_at	5.65e-02	2.31e-02	-2.3006324	-4.479621	-0.1980865	LOC105373738	uncharacterized LOC105373738
243353_at	5.65e-02	2.31e-02	2.3005682	-4.479763	0.06805017		
1558654_at	5.66e-02	2.31e-02	2.3004642	-4.479992	0.0853805	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H
207351_s_at	5.66e-02	2.32e-02	-2.300391	-4.480153	-0.24422917	SH2D2A	SH2 domain containing 2A
202090_s_at	5.66e-02	2.32e-02	2.3003189	-4.480312	0.142605	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI
206988_at	5.66e-02	2.32e-02	2.3001911	-4.480594	0.142705	CCL25	C-C motif chemokine ligand 25
201019_s_at	5.66e-02	2.32e-02	2.3001552	-4.480673	0.18125	EIF1AX	eukaryotic translation initiation factor 1A, X-linked
228746_s_at	5.66e-02	2.32e-02	-2.3001469	-4.480692	-0.39684317		
1558581_at	5.66e-02	2.32e-02	2.2997943	-4.481469	0.10702733	TEX22	testis expressed 22
201832_s_at	5.66e-02	2.32e-02	2.2997463	-4.481575	0.16836733	USO1	USO1 vesicle transport factor
236611_at	5.66e-02	2.32e-02	2.2997406	-4.481588	0.09191317	LOC101928000	uncharacterized LOC101928000
220655_at	5.67e-02	2.32e-02	-2.2994276	-4.482278	-0.4673525	TNIP3	TNFAIP3 interacting protein 3
233578_at	5.67e-02	2.32e-02	2.299427	-4.482279	0.0607325	C1orf101	chromosome 1 open reading frame 101
241347_at	5.67e-02	2.32e-02	2.2994212	-4.482292	0.26893133	RNF213	ring finger protein 213
213596_at	5.67e-02	2.32e-02	-2.2992981	-4.482563	-0.40582217	CASP4	caspase 4
206892_at	5.67e-02	2.32e-02	2.2992397	-4.482692	0.14294833	AMHR2	anti-Mullerian hormone receptor type 2
232839_at	5.67e-02	2.32e-02	2.2991497	-4.48289	0.07094567	STK24-AS1	STK24 antisense RNA 1
1559470_at	5.67e-02	2.32e-02	2.2991132	-4.482971	0.05591467	D21S2088E	D21S2088E
207425_s_at	5.67e-02	2.32e-02	2.2989028	-4.483434	0.2284305	SEPT9	septin 9
213601_at	5.67e-02	2.32e-02	2.298876	-4.483494	0.11347283	SLIT1	slit guidance ligand 1
210845_s_at	5.68e-02	2.32e-02	-2.2987842	-4.483696	-0.39264833	PLAUR	plasminogen activator, urokinase receptor
1559083_x_at	5.68e-02	2.33e-02	2.2984697	-4.484389	0.08683383	LOC284600	uncharacterized LOC284600
228375_at	5.68e-02	2.33e-02	2.2984497	-4.484433	0.191711	IGSF11	immunoglobulin superfamily member 11
205188_s_at	5.68e-02	2.33e-02	2.2982492	-4.484875	0.23127717	SMAD5	SMAD family member 5
1562076_at	5.68e-02	2.33e-02	2.2982206	-4.484938	0.043954		
238921_at	5.68e-02	2.33e-02	2.2981676	-4.485054	0.12073917	LOC644794	uncharacterized LOC644794
231563_at	5.68e-02	2.33e-02	2.2981535	-4.485086	0.06088733	LOC100505824	uncharacterized LOC100505824
207153_s_at	5.68e-02	2.33e-02	2.2981035	-4.485196	0.21166217	GLMN	glomulin, FKBP associated protein
207548_at	5.69e-02	2.33e-02	2.2979175	-4.485606	0.05266533	LOC100996542///GRM7	uncharacterized LOC100996542///glutamate metabotropic receptor 7
231462_at	5.69e-02	2.33e-02	2.2978465	-4.485762	0.133621	TMEM114	transmembrane protein 114
202634_at	5.69e-02	2.33e-02	2.2977486	-4.485978	0.17384783	POLR2K	RNA polymerase II subunit K
226124_at	5.69e-02	2.33e-02	2.2977287	-4.486021	0.147928	ZFP90	ZFP90 zinc finger protein
203315_at	5.69e-02	2.33e-02	-2.2976916	-4.486103	-0.1555975	NCK2	NCK adaptor protein 2
241739_at	5.69e-02	2.33e-02	-2.2975728	-4.486365	-0.30548167	OGFOD1	2-oxoglutarate and iron dependent oxygenase domain containing 1
231627_at	5.69e-02	2.33e-02	2.2975557	-4.486403	0.07314533	LINC00919	long intergenic non-protein coding RNA 919
241755_at	5.69e-02	2.33e-02	2.297359	-4.486836	0.19802383	UQCRC2	ubiquinol-cytochrome c reductase core protein II
224774_s_at	5.69e-02	2.33e-02	2.2973485	-4.486859	0.24718283	NAV1	neuron navigator 1
210678_s_at	5.69e-02	2.33e-02	2.2972775	-4.487016	0.154047	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2
214865_at	5.69e-02	2.33e-02	-2.2972041	-4.487177	-0.08219083	DOT1L	DOT1 like histone lysine methyltransferase
1561951_at	5.69e-02	2.33e-02	2.29717	-4.487252	0.06124667	SLC5A12	solute carrier family 5 member 12
226310_at	5.69e-02	2.33e-02	-2.2971449	-4.487308	-0.367011	RICTOR	RPTOR independent companion of MTOR complex 2
1555653_at	5.69e-02	2.33e-02	2.2970928	-4.487422	0.20628833		
1570448_at	5.69e-02	2.33e-02	2.2970613	-4.487492	0.0575405		
1561514_at	5.69e-02	2.33e-02	2.2970448	-4.487528	0.088001	LOC400655	uncharacterized LOC400655
216274_s_at	5.69e-02	2.34e-02	-2.2969776	-4.487676	-0.19870583	SEC11A	SEC11 homolog A, signal peptidase complex subunit
210895_s_at	5.70e-02	2.34e-02	-2.2969509	-4.487735	-0.392433	CD86	CD86 molecule
205310_at	5.70e-02	2.34e-02	2.2966882	-4.488313	0.14649583	FBXO46	F-box protein 46
222814_s_at	5.70e-02	2.34e-02	-2.2966546	-4.488387	-0.22283967	ZNHIT2	zinc finger HIT-type containing 2
208980_s_at	5.70e-02	2.34e-02	-2.2965051	-4.488717	-0.09722167	UBC	ubiquitin C
219398_at	5.70e-02	2.34e-02	2.2963118	-4.489142	0.12470633	CIDEC	cell death inducing DFFA like effector c
209877_at	5.70e-02	2.34e-02	-2.2962758	-4.489221	-0.13155333	SNCG	synuclein gamma
214655_at	5.70e-02	2.34e-02	2.2961679	-4.489459	0.07152283	GPR6	G protein-coupled receptor 6
243130_at	5.71e-02	2.34e-02	2.2960056	-4.489816	0.10840433		
228914_at	5.71e-02	2.34e-02	-2.2959642	-4.489907	-0.2376965		
223581_at	5.71e-02	2.34e-02	2.2958378	-4.490186	0.23712367	ZNF577	zinc finger protein 577
1558467_a_at	5.71e-02	2.34e-02	2.2957407	-4.490399	0.33101567	UGGT2	UDP-glucose glycoprotein glucosyltransferase 2
1562724_at	5.71e-02	2.34e-02	2.2956955	-4.490499	0.074163	LOC286114	uncharacterized LOC286114
238673_at	5.71e-02	2.34e-02	2.2956419	-4.490617	0.31487117	SAMD12	sterile alpha motif domain containing 12
224771_at	5.71e-02	2.34e-02	2.295577	-4.49076	0.27762317	NAV1	neuron navigator 1
204986_s_at	5.71e-02	2.34e-02	-2.295503	-4.490923	-0.15776583	TAOK2	TAO kinase 2
235524_at	5.71e-02	2.34e-02	2.2954597	-4.491018	0.10798017	RALGAPA1	Ral GTPase activating protein catalytic alpha subunit 1
229143_at	5.71e-02	2.34e-02	2.2953947	-4.491161	0.16866517	CNOT3	CCR4-NOT transcription complex subunit 3
203412_at	5.72e-02	2.35e-02	2.2951765	-4.491641	0.14792533	LZTR1	leucine zipper like transcription regulator 1
242912_at	5.72e-02	2.35e-02	2.2950977	-4.491815	0.10637983	POTEM	POTE ankyrin domain family member M
1562281_at	5.72e-02	2.35e-02	2.294939	-4.492164	0.1072545		
1563462_at	5.72e-02	2.35e-02	2.294928	-4.492188	0.14307767	LINC01091	long intergenic non-protein coding RNA 1091
223472_at	5.72e-02	2.35e-02	2.2947432	-4.492595	0.19899917	WHSC1	Wolf-Hirschhorn syndrome candidate 1
242247_at	5.72e-02	2.35e-02	2.2946343	-4.492834	0.24054517	METTL15	methyltransferase like 15
207097_s_at	5.72e-02	2.35e-02	2.294616	-4.492875	0.0660545	SLC17A2	solute carrier family 17 member 2
204572_s_at	5.72e-02	2.35e-02	-2.2944772	-4.49318	-0.20296067	PIN4	peptidylprolyl cis/trans isomerase, NIMA-interacting 4
206816_s_at	5.73e-02	2.35e-02	2.2942843	-4.493604	0.11847033	SPAG8	sperm associated antigen 8
243027_at	5.73e-02	2.35e-02	2.2942459	-4.493689	0.094905	IGSF5	immunoglobulin superfamily member 5
1557195_at	5.73e-02	2.35e-02	2.2941051	-4.493999	0.09352183		
236219_at	5.73e-02	2.35e-02	2.294101	-4.494007	0.32986167	SLC35G1	solute carrier family 35 member G1
217934_x_at	5.73e-02	2.35e-02	2.2940745	-4.494066	0.12888283	STUB1	STIP1 homology and U-box containing protein 1
204361_s_at	5.73e-02	2.35e-02	-2.2939898	-4.494252	-0.45572683	SKAP2	src kinase associated phosphoprotein 2
213179_at	5.73e-02	2.35e-02	2.2939435	-4.494354	0.15828817	CNOT9	CCR4-NOT transcription complex subunit 9
208943_s_at	5.73e-02	2.35e-02	-2.2938351	-4.494592	-0.14212483	SEC62	SEC62 homolog, preprotein translocation factor
219111_s_at	5.73e-02	2.35e-02	2.2937736	-4.494728	0.1464595	DDX54	DEAD-box helicase 54
216244_at	5.74e-02	2.36e-02	2.2935235	-4.495278	0.10633367	IL1RN	interleukin 1 receptor antagonist
231501_at	5.74e-02	2.36e-02	2.2933618	-4.495633	0.060932	LOC105375773	uncharacterized LOC105375773
237267_at	5.74e-02	2.36e-02	-2.2933463	-4.495667	-0.08774267	LOC100506675	uncharacterized LOC100506675
203610_s_at	5.74e-02	2.36e-02	2.2929771	-4.496479	0.15975567	TRIM38	tripartite motif containing 38
214518_at	5.74e-02	2.36e-02	2.2929771	-4.496479	0.0758955	PDHA2	pyruvate dehydrogenase (lipoamide) alpha 2
1559788_at	5.74e-02	2.36e-02	2.2928717	-4.496711	0.0581025		
1553513_at	5.74e-02	2.36e-02	-2.2927982	-4.496873	-0.08024317	VNN3	vanin 3
237169_at	5.75e-02	2.36e-02	2.2927242	-4.497035	0.37663383	TNC	tenascin C
207827_x_at	5.75e-02	2.36e-02	-2.292715	-4.497055	-0.10377533	SNCA	synuclein alpha
1552988_at	5.75e-02	2.36e-02	2.2927023	-4.497083	0.06504017	C11orf65	chromosome 11 open reading frame 65
1557985_s_at	5.75e-02	2.36e-02	2.2926182	-4.497268	0.11562183	CEP78	centrosomal protein 78
203885_at	5.75e-02	2.36e-02	-2.2925235	-4.497477	-0.261309	RAB21	RAB21, member RAS oncogene family
58916_at	5.75e-02	2.36e-02	2.292513	-4.4975	0.418067	NDUFC2-KCTD14///KCTD14	NDUFC2-KCTD14 readthrough///potassium channel tetramerization domain containing 14
209857_s_at	5.75e-02	2.36e-02	2.2924542	-4.497629	0.14351017	SPHK2	sphingosine kinase 2
202694_at	5.75e-02	2.36e-02	-2.2922474	-4.498084	-0.2578335	STK17A	serine/threonine kinase 17a
205511_at	5.75e-02	2.36e-02	-2.2921967	-4.498195	-0.30896567	FLJ10038	uncharacterized protein FLJ10038
219640_at	5.75e-02	2.36e-02	2.2919608	-4.498714	0.14184883	CLDN15	claudin 15
