ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
219733_s_at	6.36e-01	3.92e-01	-0.8672934	-6.07405	-0.2700382	SLC27A5	solute carrier family 27 member 5
238426_at	6.37e-01	3.92e-01	-0.8671307	-6.074188	-0.6953045	TMEM130	transmembrane protein 130
214309_s_at	6.37e-01	3.92e-01	0.8671175	-6.074199	0.0686107		
233016_at	6.37e-01	3.92e-01	-0.867116	-6.074201	-0.182859	LOC101929305	uncharacterized LOC101929305
238500_at	6.37e-01	3.92e-01	0.8670064	-6.074294	0.0858954	EMP2	epithelial membrane protein 2
217742_s_at	6.37e-01	3.92e-01	0.8669785	-6.074318	0.2510714	WAC	WW domain containing adaptor with coiled-coil
238301_at	6.37e-01	3.92e-01	-0.8669515	-6.074341	-0.0707823		
224646_x_at	6.37e-01	3.92e-01	-0.8669384	-6.074352	-1.0783914	MIR675///H19	microRNA 675///H19, imprinted maternally expressed transcript (non-protein coding)
211712_s_at	6.37e-01	3.92e-01	-0.8668703	-6.07441	-0.0882716	ANXA9	annexin A9
243351_at	6.37e-01	3.92e-01	0.8668311	-6.074443	0.1764101	FZD10-AS1	FZD10 antisense RNA 1 (head to head)
239200_at	6.37e-01	3.92e-01	-0.8668118	-6.074459	-0.0846429		
1557301_a_at	6.37e-01	3.92e-01	-0.8667472	-6.074514	-0.119921		
218863_s_at	6.37e-01	3.92e-01	0.8667368	-6.074523	0.1295818	TNS1	tensin 1
205513_at	6.37e-01	3.92e-01	0.8667334	-6.074526	0.0785322	TCN1	transcobalamin 1
200678_x_at	6.37e-01	3.92e-01	-0.8667044	-6.074551	-0.391848	GRN	granulin
40225_at	6.37e-01	3.92e-01	-0.8666864	-6.074566	-0.137519	GAK	cyclin G associated kinase
1553961_s_at	6.37e-01	3.92e-01	-0.8666765	-6.074575	-0.2205145	SNX21	sorting nexin family member 21
1567590_at	6.37e-01	3.92e-01	-0.8666271	-6.074617	-0.0801208	METTL15	methyltransferase like 15
234835_at	6.37e-01	3.92e-01	0.866574	-6.074662	0.0703314	LOC100506667	uncharacterized LOC100506667
227153_at	6.37e-01	3.92e-01	-0.8665142	-6.074713	-0.258763	IMMP2L	inner mitochondrial membrane peptidase subunit 2
37986_at	6.37e-01	3.92e-01	-0.8664446	-6.074772	-0.1511973	EPOR	erythropoietin receptor
243721_at	6.37e-01	3.92e-01	-0.8663878	-6.07482	-0.0663768	C18orf61	uncharacterized LOC497259
237712_at	6.37e-01	3.92e-01	-0.8663314	-6.074868	-0.0779771	LOC100507562	uncharacterized LOC100507562
207645_s_at	6.37e-01	3.92e-01	0.8663159	-6.074881	0.1099985	CHD1L	chromodomain helicase DNA binding protein 1 like
239372_at	6.37e-01	3.92e-01	0.8662129	-6.074969	0.1936688		
219346_at	6.37e-01	3.92e-01	0.8662118	-6.07497	0.2028301	LRFN3	leucine rich repeat and fibronectin type III domain containing 3
1560241_at	6.37e-01	3.92e-01	-0.8662116	-6.07497	-0.0832444	LOC101928682	uncharacterized LOC101928682
240626_at	6.37e-01	3.92e-01	-0.8661197	-6.075048	-0.1517241		
212712_at	6.37e-01	3.92e-01	0.8659799	-6.075167	0.1986891	CAMSAP1	calmodulin regulated spectrin associated protein 1
1557762_at	6.37e-01	3.92e-01	0.8659494	-6.075193	0.0801048	LOC105377458	uncharacterized LOC105377458
232534_at	6.37e-01	3.92e-01	0.865907	-6.075229	0.0693404	LIN37	lin-37 DREAM MuvB core complex component
239214_at	6.37e-01	3.92e-01	-0.8659023	-6.075233	-0.096286	LOC100130458	uncharacterized LOC100130458
1563204_at	6.37e-01	3.92e-01	0.8658969	-6.075238	0.06203	ZNF627	zinc finger protein 627
227162_at	6.37e-01	3.92e-01	0.8658741	-6.075257	0.2582108	ZBTB26	zinc finger and BTB domain containing 26
219150_s_at	6.37e-01	3.93e-01	0.8658308	-6.075294	0.4462265	ADAP1	ArfGAP with dual PH domains 1
206264_at	6.37e-01	3.93e-01	0.8657958	-6.075324	0.1240409	GPLD1	glycosylphosphatidylinositol specific phospholipase D1
224665_at	6.37e-01	3.93e-01	0.8657456	-6.075366	0.2563458	ANAPC16	anaphase promoting complex subunit 16
1569949_at	6.37e-01	3.93e-01	0.8656059	-6.075485	0.0725059	GRK5	G protein-coupled receptor kinase 5
