ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
220802_at	1.52e-01	3.68e-02	2.1201552	-4.522092	0.38643399	KCNH4	potassium voltage-gated channel subfamily H member 4
209942_x_at	1.52e-01	3.68e-02	2.1199312	-4.522542	0.49757003	MAGEA6///MAGEA3	MAGE family member A6///MAGE family member A3
220882_at	1.52e-01	3.68e-02	2.11966	-4.523087	0.21859052		
208979_at	1.52e-01	3.68e-02	-2.1196252	-4.523157	-0.15894572	NCOA6	nuclear receptor coactivator 6
200881_s_at	1.52e-01	3.69e-02	-2.1192549	-4.523901	-0.17525729	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1
213040_s_at	1.52e-01	3.69e-02	2.1192051	-4.524001	0.27907583	NPTXR	neuronal pentraxin receptor
205469_s_at	1.52e-01	3.69e-02	-2.1192026	-4.524006	-0.25909727	IRF5	interferon regulatory factor 5
220005_at	1.52e-01	3.69e-02	2.118615	-4.525186	0.25373355	P2RY13	purinergic receptor P2Y13
201988_s_at	1.52e-01	3.70e-02	2.1181236	-4.526172	0.17512883	CREBL2	cAMP responsive element binding protein like 2
215745_at	1.52e-01	3.70e-02	2.1171618	-4.528103	0.18874075		
210041_s_at	1.52e-01	3.71e-02	-2.1170403	-4.528346	-0.23821178	PGM3	phosphoglucomutase 3
212386_at	1.52e-01	3.71e-02	2.1170177	-4.528392	0.2476924	TCF4	transcription factor 4
213260_at	1.52e-01	3.71e-02	-2.1169398	-4.528548	-0.20396238	FOXC1	forkhead box C1
201838_s_at	1.53e-01	3.71e-02	2.1163493	-4.529733	0.14789427	SUPT7L	SPT7-like STAGA complex gamma subunit
215165_x_at	1.53e-01	3.72e-02	-2.1159537	-4.530526	-0.21160109	UMPS	uridine monophosphate synthetase
216941_s_at	1.53e-01	3.72e-02	-2.1153444	-4.531748	-0.32375262	TAF1B	TATA-box binding protein associated factor, RNA polymerase I subunit B
221860_at	1.53e-01	3.72e-02	-2.1152719	-4.531893	-0.28079891		
208137_x_at	1.53e-01	3.72e-02	-2.1151238	-4.53219	-0.23617132	ZNF611	zinc finger protein 611
200953_s_at	1.53e-01	3.72e-02	2.1150297	-4.532379	0.18069549	CCND2	cyclin D2
203681_at	1.53e-01	3.72e-02	2.115016	-4.532406	0.20895868	IVD	isovaleryl-CoA dehydrogenase
204289_at	1.53e-01	3.72e-02	2.1149032	-4.532633	0.3212102	ALDH6A1	aldehyde dehydrogenase 6 family member A1
202101_s_at	1.53e-01	3.73e-02	-2.1146792	-4.533082	-0.33898736	RALB	RALB Ras like proto-oncogene B
213996_at	1.53e-01	3.73e-02	2.1140281	-4.534387	0.46100217	YPEL1	yippee like 1
204113_at	1.53e-01	3.73e-02	-2.1137812	-4.534881	-0.29249809	CELF1	CUGBP, Elav-like family member 1
201203_s_at	1.53e-01	3.74e-02	-2.1136818	-4.53508	-0.19674559	RRBP1	ribosome binding protein 1
212055_at	1.53e-01	3.74e-02	2.1135815	-4.535282	0.25953337	TPGS2	tubulin polyglutamylase complex subunit 2
208857_s_at	1.53e-01	3.74e-02	-2.1135575	-4.535329	-0.24989651	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase
218966_at	1.53e-01	3.74e-02	-2.1135069	-4.535431	-0.16148912	MYO5C	myosin VC
204342_at	1.53e-01	3.74e-02	-2.11321	-4.536026	-0.38470887	SLC25A24	solute carrier family 25 member 24
221366_at	1.53e-01	3.74e-02	2.1131445	-4.536157	0.1919207	NKX6-1	NK6 homeobox 1
201177_s_at	1.53e-01	3.74e-02	2.1130454	-4.536355	0.269435	UBA2	ubiquitin like modifier activating enzyme 2
211754_s_at	1.53e-01	3.75e-02	-2.1125176	-4.537412	-0.16788592	SLC25A17	solute carrier family 25 member 17
200737_at	1.53e-01	3.75e-02	-2.1125005	-4.537447	-0.76495175	PGK1	phosphoglycerate kinase 1
208208_at	1.53e-01	3.75e-02	2.1123832	-4.537682	0.35782987	MYH13	myosin heavy chain 13
202716_at	1.53e-01	3.75e-02	2.1120938	-4.538261	0.2593979	PTPN1	protein tyrosine phosphatase, non-receptor type 1
202958_at	1.53e-01	3.75e-02	-2.1120422	-4.538364	-0.2618903	PTPN9	protein tyrosine phosphatase, non-receptor type 9
206313_at	1.53e-01	3.75e-02	2.1120024	-4.538444	0.15508534	HLA-DOA	major histocompatibility complex, class II, DO alpha
206469_x_at	1.53e-01	3.75e-02	-2.1119491	-4.538551	-0.26240103	AKR7A3	aldo-keto reductase family 7 member A3
220937_s_at	1.53e-01	3.75e-02	-2.1118509	-4.538747	-0.2692354	ST6GALNAC4	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4
217391_x_at	1.54e-01	3.75e-02	2.1115928	-4.539264	0.17310605		
213410_at	1.54e-01	3.77e-02	-2.1100646	-4.542322	-0.17701638	EDRF1	erythroid differentiation regulatory factor 1
205185_at	1.54e-01	3.77e-02	2.1099788	-4.542494	0.20895236	SPINK5	serine peptidase inhibitor, Kazal type 5
212526_at	1.54e-01	3.77e-02	2.1093378	-4.543776	0.46205329	SPG20	spastic paraplegia 20 (Troyer syndrome)
201335_s_at	1.54e-01	3.78e-02	-2.1089968	-4.544458	-0.32075918	ARHGEF12	Rho guanine nucleotide exchange factor 12
204127_at	1.54e-01	3.78e-02	-2.108923	-4.544606	-0.28716991	RFC3	replication factor C subunit 3
220624_s_at	1.54e-01	3.78e-02	2.10876	-4.544932	0.24574732	ELF5	E74 like ETS transcription factor 5
216266_s_at	1.54e-01	3.78e-02	2.1083842	-4.545683	0.22713696	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1
205296_at	1.54e-01	3.78e-02	-2.1083562	-4.545739	-0.49022802	RBL1	RB transcriptional corepressor like 1
217499_x_at	1.55e-01	3.79e-02	2.1078582	-4.546734	0.15353235	OR7E37P	olfactory receptor family 7 subfamily E member 37 pseudogene
206360_s_at	1.55e-01	3.79e-02	2.1074665	-4.547517	0.3048632	SOCS3	suppressor of cytokine signaling 3
215550_at	1.55e-01	3.80e-02	2.1067887	-4.548871	0.3507108	SRGAP3	SLIT-ROBO Rho GTPase activating protein 3
200703_at	1.55e-01	3.80e-02	-2.1067237	-4.549001	-0.29354247	DYNLL1	dynein light chain LC8-type 1
216369_at	1.55e-01	3.80e-02	2.1058472	-4.550752	0.30598672		
201622_at	1.55e-01	3.80e-02	-2.1058412	-4.550764	-0.34200875	SND1	staphylococcal nuclease and tudor domain containing 1
205857_at	1.55e-01	3.80e-02	2.1058225	-4.550801	0.38850939	SLC18A2	solute carrier family 18 member A2
221723_s_at	1.55e-01	3.80e-02	2.105811	-4.550824	0.43821201	SLC4A5	solute carrier family 4 member 5
211341_at	1.55e-01	3.81e-02	-2.1053232	-4.551798	-0.38935571	POU4F1	POU class 4 homeobox 1
201193_at	1.55e-01	3.81e-02	2.1053113	-4.551822	0.3628449	IDH1	isocitrate dehydrogenase (NADP(+)) 1, cytosolic
213215_at	1.55e-01	3.81e-02	2.1052259	-4.551992	0.20848564	C15orf38-AP3S2///AP3S2	C15orf38-AP3S2 readthrough///adaptor related protein complex 3 sigma 2 subunit
218668_s_at	1.55e-01	3.81e-02	-2.1047301	-4.552982	-0.48160031	RAP2C	RAP2C, member of RAS oncogene family
201980_s_at	1.56e-01	3.82e-02	2.1043894	-4.553662	0.43512895	RSU1	Ras suppressor protein 1
201482_at	1.56e-01	3.82e-02	-2.1043811	-4.553678	-0.37550643	QSOX1	quiescin sulfhydryl oxidase 1
215337_at	1.56e-01	3.82e-02	2.1040785	-4.554282	0.52469108	MED24	mediator complex subunit 24
205417_s_at	1.56e-01	3.82e-02	-2.1036917	-4.555054	-0.27496393	DAG1	dystroglycan 1
218019_s_at	1.56e-01	3.83e-02	2.1032046	-4.556026	0.1617044	PDXK	pyridoxal (pyridoxine, vitamin B6) kinase
215064_at	1.56e-01	3.83e-02	2.1025605	-4.55731	0.20467645	SC5D	sterol-C5-desaturase
202518_at	1.56e-01	3.83e-02	-2.1024843	-4.557462	-0.32848456	BCL7B	BCL tumor suppressor 7B
213290_at	1.56e-01	3.84e-02	2.1022016	-4.558026	0.13560783	COL6A2	collagen type VI alpha 2 chain
216068_at	1.56e-01	3.84e-02	-2.1020383	-4.558351	-0.2511125		
207115_x_at	1.56e-01	3.84e-02	-2.1020381	-4.558352	-0.26852669	MBTD1	mbt domain containing 1
207840_at	1.56e-01	3.84e-02	2.1019643	-4.558499	0.18742676	CD160	CD160 molecule
202688_at	1.56e-01	3.84e-02	-2.1017946	-4.558837	-0.37477136	TNFSF10	tumor necrosis factor superfamily member 10
207153_s_at	1.56e-01	3.84e-02	-2.1017139	-4.558998	-0.32308752	GLMN	glomulin, FKBP associated protein
202829_s_at	1.56e-01	3.84e-02	2.1015959	-4.559233	0.14447561	VAMP7	vesicle associated membrane protein 7
205203_at	1.56e-01	3.85e-02	-2.1012627	-4.559897	-0.29696049	PLD1	phospholipase D1
204656_at	1.56e-01	3.85e-02	2.1011912	-4.56004	0.27578187	SHB	SH2 domain containing adaptor protein B
202148_s_at	1.56e-01	3.85e-02	-2.1009562	-4.560508	-0.34895579	PYCR1	pyrroline-5-carboxylate reductase 1
210479_s_at	1.56e-01	3.85e-02	2.1008297	-4.56076	0.300686	RORA	RAR related orphan receptor A
217277_at	1.56e-01	3.85e-02	-2.1007621	-4.560895	-0.22426259		
209623_at	1.56e-01	3.85e-02	-2.1003925	-4.561631	-0.20220196	MCCC2	methylcrotonoyl-CoA carboxylase 2
47560_at	1.57e-01	3.86e-02	-2.0996433	-4.563124	-0.15352384	ADGRL1	adhesion G protein-coupled receptor L1
201446_s_at	1.57e-01	3.86e-02	-2.0991211	-4.564164	-0.12855049	TIA1	TIA1 cytotoxic granule-associated RNA binding protein
216513_at	1.57e-01	3.87e-02	2.0990297	-4.564346	0.39213489	DCT	dopachrome tautomerase
208433_s_at	1.57e-01	3.87e-02	-2.0982092	-4.565979	-0.38001353	LRP8	LDL receptor related protein 8
212182_at	1.57e-01	3.88e-02	2.0976723	-4.567047	0.20384981	NUDT4	nudix hydrolase 4
202225_at	1.57e-01	3.88e-02	2.0973643	-4.56766	0.49741289	CRK	CRK proto-oncogene, adaptor protein
222334_at	1.58e-01	3.88e-02	2.0969846	-4.568416	0.32425114	LOC101929219///LOC100505650///C1orf186	uncharacterized LOC101929219///uncharacterized LOC100505650///chromosome 1 open reading frame 186
218925_s_at	1.58e-01	3.89e-02	-2.0964464	-4.569486	-0.28329938	C11orf1	chromosome 11 open reading frame 1
211885_x_at	1.58e-01	3.89e-02	2.0963261	-4.569726	0.1921958	FUT6	fucosyltransferase 6
