source,target,weight
CAV1,PTGS2,0.826
CAV1,PTEN,0.912
ANXA2,CAV1,0.922
CAV1,CD36,0.956
CAV1,CAVIN1,0.999
CAV2,CAVIN1,0.92
CAV2,EGFR,0.977
CAV1,CAV2,0.999
CAV2,CAVIN1,0.92
CAVIN1,EGFR,0.885
CAVIN1,CAVIN2,0.728
CAV1,CAVIN1,0.999
CAVIN1,S100A10,0.729
AKAP12,CAVIN1,0.793
CAVIN1,CAVIN2,0.728
CAV1,CAVIN2,0.946
CBFB,MMP13,0.794
CBFB,TAL1,0.843
CBFB,SOCS3,0.763
BMP2,CBFB,0.788
CBFB,SPP1,0.788
CBFB,RUNX3,0.999
CBFB,CLDN5,0.75
CBFB,LIFR,0.75
