SYMBOL,degree,is_biomarker,UniProt,emb_idx
RAB11FIP1,4,0,Q6WKZ4,4534.0
RAB25,6,0,P57735,5434.0
RAB27B,6,0,O00194,6826.0
RAB3IP,4,0,Q96QF0,11908.0
RABIF,18,0,P47224,11342.0
RAD51AP1,80,0,Q96B01,6003.0
RAD51B,30,1,O15315,17785.0
RAD51C,38,1,O43502,2815.0
RAN,12,0,P62826,12635.0
RAPGEF3,14,0,O95398,9893.0
RARRES2,4,0,Q99969,991.0
RASA3,6,0,Q14644,10314.0
RASGRF2,6,0,O14827,8213.0
RB1,38,1,P06400,12395.0
RBMS2,2,0,Q15434,16318.0
RBMS3,2,0,Q6XE24,14944.0
RBP4,6,0,P02753,1152.0
RBPMS,6,0,Q93062,13029.0
RBPMS2,4,0,Q6ZRY4,15967.0
RDH11,6,0,Q8TC12,16088.0
RDH5,4,0,Q92781,8786.0
RECK,4,0,O95980,4986.0
REL,14,1,Q04864,2145.0
RETSAT,10,0,Q6NUM9,14200.0
RFX2,2,0,P48378,9351.0
RGCC,4,0,Q9H4X1,13123.0
RGMA,2,0,Q96B86,10896.0
RGN,4,0,Q15493,2898.0
RGS1,2,0,Q08116,1418.0
RGS4,6,0,P49798,10376.0
RHOH,2,0,Q15669,1983.0
RHOJ,6,0,Q9H4E5,16524.0
RHOQ,6,0,P17081,786.0
RIN3,2,1,Q8TB24,15994.0
RMI2,16,0,Q96E14,257.0
RNASE1,2,0,P07998,8098.0
RNASE4,2,0,P34096,11348.0
RNF43,10,0,Q68DV7,14710.0
ROBO4,8,0,Q8WZ75,6355.0
ROPN1L,2,1,Q96C74,4496.0
RORA,14,1,P35398,6295.0
RPS21,10,0,P63220,8370.0
RRM2,120,0,P31350,16218.0
RUNX1T1,8,0,Q06455,17547.0
RUNX2,54,0,Q13950,14767.0
S100A4,14,0,P26447,14386.0
S100B,12,0,P04271,12290.0
S1PR1,10,0,P21453,17707.0
SAMD4A,2,0,Q9UPU9,13921.0
SAP30,2,0,O75446,8713.0
SCD,20,0,O00767,6985.0
SCGB2A2,2,0,Q13296,16285.0
SCN4B,6,0,Q8IWT1,2524.0
SDC1,44,0,P18827,406.0
SELENOI,14,0,Q9C0D9,13579.0
SEMA6A,2,0,Q9H2E6,12440.0
SERPINE1,34,0,P05121,7232.0
SERPINF1,6,0,P36955,11824.0
SETBP1,2,1,Q9Y6X0,14479.0
SFN,24,0,Q9Y3B8,2235.0
SFRP1,6,0,Q8N474,1952.0
SGCB,10,0,Q16585,3329.0
SGCG,10,0,Q13326,13164.0
SGK2,2,0,Q9HBY8,15186.0
SGO2,26,0,Q562F6,4739.0
SGPP2,12,0,Q8IWX5,12252.0
SHCBP1,54,0,Q8NEM2,18124.0
SHROOM3,4,0,Q8TF72,14534.0
SIAH2,4,1,O43255,10912.0
SIX4,2,0,Q9UIU6,6192.0
SLC11A2,4,0,P49281,17745.0
SLC12A2,2,0,P55011,4633.0
SLC1A3,4,0,P43003,6927.0
SLC22A3,2,0,O75751,9111.0
SLC29A4,2,0,Q7RTT9,13871.0
SLC38A1,2,0,Q9H2H9,13382.0
SLC4A4,2,0,Q9Y6R1,8404.0
SLC4A7,6,1,Q9Y6M7,12051.0
SLC7A5,8,0,Q01650,6009.0
SLC7A8,2,0,Q9UHI5,2990.0
SLIT3,4,0,O75094,16419.0
SMAD2,50,1,Q15796,7853.0
SMAD4,68,1,Q13485,9491.0
SMARCA4,58,0,P51532,14586.0
SMC4,66,0,Q9NTJ3,3163.0
SNRPB,8,0,P14678,10083.0
SNX1,4,0,Q13596,4974.0
SOD3,6,0,P08294,7451.0
SORBS1,10,0,Q9BX66,12162.0
SORBS2,2,0,O94875,1874.0
SORD,10,0,Q00796,11873.0
SOX11,8,0,P35716,11647.0
SOX17,12,0,Q9H6I2,14433.0
SOX4,12,0,Q06945,5256.0
SOX5,6,0,P35711,8685.0
SOX6,4,0,P35712,5574.0
SPA17,2,0,Q15506,17072.0
SPAG1,2,0,Q07617,9063.0
SPAG5,90,0,Q96R06,14639.0
SPART,2,0,Q8N0X7,13939.0
SPDEF,4,0,O95238,1064.0
SPINT1,4,0,O43278,1770.0
SPINT2,8,0,O43291,16929.0
SPP1,38,0,Q9BX95,11751.0
SPRY2,4,0,O43597,14673.0
SPTBN1,6,0,Q01082,9575.0
SPX,2,0,Q9BT56,6512.0
SQLE,12,0,Q14534,2318.0
SRD5A1,10,0,P18405,9677.0
SRD5A3,8,0,Q9H8P0,8371.0
SRSF10,6,0,O75494,10851.0
SSBP4,2,1,Q9BWG4,5182.0
SSPN,8,0,Q14714,4517.0
ST14,4,0,Q9Y5Y6,12016.0
STARD13,2,0,Q9Y3M8,816.0
STAT1,68,0,P42224,7954.0
STAT5A,52,0,P42229,15046.0
STBD1,6,0,O95210,13231.0
STK26,2,0,Q9P289,17019.0
STS,2,0,P08842,13540.0
STX11,8,0,O75558,10060.0
STX12,6,0,Q86Y82,14328.0
STX3,10,0,Q13277,6655.0
STX6,6,0,O43752,7710.0
STXBP1,8,0,P61764,4647.0
SV2B,2,0,Q7L1I2,9547.0
SVEP1,2,0,Q4LDE5,9523.0
SYN2,4,0,Q92777,13303.0
SYNM,2,0,O15061,9365.0
SYTL1,4,0,Q8IYJ3,1864.0
TAB2,6,1,Q9NYJ8,14398.0
TACC1,4,0,O75410,5565.0
TACR1,2,0,P25103,386.0
TACSTD2,6,0,P09758,626.0
TAL1,16,0,P17542,509.0
TBX3,2,1,O15119,8642.0
TCF7L1,18,0,Q9HCS4,11889.0
TCF7L2,22,1,Q9NQB0,9552.0
TDO2,6,0,P48775,16539.0
TEF,2,0,Q10587,10797.0
TERT,24,1,O14746,4391.0
TET1,6,1,Q8NFU7,8978.0
TET2,20,1,Q6N021,8753.0
TF,2,0,P02787,16527.0
TFAP2A,18,0,P05549,5208.0
TFAP2B,4,0,Q92481,2162.0
TFE3,2,0,P19532,8145.0
TFF3,6,0,Q07654,16701.0
TGFBR2,22,1,P37173,10455.0
TGFBR3,6,0,Q03167,14669.0
THRB,12,0,P10828,15985.0
THRSP,2,0,Q92748,4562.0
TIA1,4,0,P31483,7615.0
TIMP4,8,0,Q99727,11148.0
TJP3,18,0,O95049,8234.0
TK1,70,0,P04183,15089.0
TK2,6,0,O00142,13578.0
TLN2,28,0,Q9Y4G6,11038.0
TLR3,12,0,O15455,9324.0
TMEM132A,2,0,Q24JP5,9192.0
TMEM30B,2,0,Q3MIR4,15405.0
TMPO,2,0,P42166,2449.0
TMTC1,6,0,Q8IUR5,17240.0
TNFRSF12A,2,0,Q9NP84,15979.0
TNMD,4,0,Q9H2S6,2101.0
TNNT3,2,1,P45378,17208.0
TNPO1,6,0,Q92973,9007.0
TNS1,4,0,Q9HBL0,4302.0
TNS2,2,0,Q63HR2,12215.0
TNS3,2,0,Q68CZ2,15851.0
TOB1,4,0,P50616,4666.0
TOP2A,148,0,P11388,2465.0
TOX3,16,1,O15405,4521.0
TP53,254,1,P04637,15200.0
TPD52,2,0,P55327,14048.0
TPX2,128,0,Q9ULW0,7647.0
TRAF4,2,0,Q9BUZ4,126.0
TREM2,8,0,Q9NZC2,2270.0
TRIB3,6,0,Q96RU7,3820.0
TRIP13,86,0,Q15645,4.0
TSLP,6,0,Q969D9,4280.0
TSPAN4,2,0,O14817,1588.0
TTK,124,0,P33981,5134.0
TWIST1,30,0,Q15672,7025.0
TWIST2,6,0,Q8WVJ9,17653.0
TXNIP,4,0,Q9H3M7,12727.0
TYMS,84,0,P04818,11818.0
TYRO3,2,0,Q06418,11973.0
UBE2C,126,0,O00762,5109.0
UBE2S,34,0,Q16763,18032.0
UBE2T,58,0,Q9NPD8,8853.0
UGCG,12,0,Q16739,15470.0
UHRF1,46,0,Q96T88,13224.0
USHBP1,2,1,Q8N6Y0,8204.0
VAV3,8,0,Q9UKW4,16841.0
VIM,16,0,P08670,11573.0
VLDLR,12,0,P98155,13536.0
VWF,36,0,P04275,13825.0
WASF3,2,0,Q9UPY6,13089.0
WDR43,4,1,Q15061,3006.0
WHRN,6,0,Q9P202,13735.0
WNT11,10,0,O96014,17552.0
XBP1,16,0,P17861,1485.0
ZBTB16,10,0,Q05516,9488.0
ZEB2,8,0,O60315,17805.0
ZFPM2,2,0,Q8WW38,340.0
ZMYND8,2,0,Q9ULU4,6136.0
ZNF365,2,1,Q70YC5,12211.0
ZNF423,10,0,Q2M1K9,10911.0
ZNF521,4,0,Q96K83,8867.0
ZWILCH,38,0,Q9H900,4888.0
ZWINT,118,0,O95229,10249.0
