Gene,GO_Description_Text
IGHV2OR16-5,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV1OR15-9,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGKV1D-13,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
TRBV12-4,[BP] adaptive immune response; cell surface receptor signaling pathway; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
PIGBOS1,[BP] regulation of endoplasmic reticulum unfolded protein response; response to unfolded protein [CC] membrane; mitochondrial outer membrane; mitochondrion [MF] protein binding
IGHV1-69D,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGKV6-21,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGKV3D-20,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGKV6D-41,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
TRGV8,[BP] adaptive immune response; immune system process; innate immune response [CC] T cell receptor complex; external side of plasma membrane; membrane; plasma membrane [MF] None
TRGV4,[BP] adaptive immune response; immune system process; innate immune response [CC] T cell receptor complex; external side of plasma membrane; membrane; plasma membrane [MF] None
IGHV1-3,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV3-16,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV1-18,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV3-20,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV1-24,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV4-28,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV3-35,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
